,language1,language2,distance
611,Afrikaans,Bemba,97.7
612,Afrikaans,Bengali,72.2
613,Afrikaans,Bihari,68.5
614,Afrikaans,Bole,91.1
615,Afrikaans,Brahui,89.4
616,Afrikaans,Brazilian,63.8
617,Afrikaans,Breton,73.7
618,Afrikaans,Bulgarian,68.5
619,Afrikaans,Burmese,87.9
620,Afrikaans,Burushaski,94.6
621,Afrikaans,Buryat,97.2
622,Afrikaans,Buyang,88.2
623,Afrikaans,Catalan,61.5
624,Afrikaans,Cebuano,85.4
625,Afrikaans,Chechen,97.2
626,Afrikaans,Chinese_(Cantonese),91.7
627,Afrikaans,Chinese_(Mandarin),89.0
628,Afrikaans,Chuvash,95.5
629,Afrikaans,Comorian,92.7
630,Afrikaans,Cornish,80.1
631,Afrikaans,Croatian,64.8
632,Afrikaans,Czech,71.3
633,Afrikaans,Danish,32.2
634,Afrikaans,Dargwa,96.9
635,Afrikaans,Dhivehi_(Maldivian),89.5
636,Afrikaans,Ossetic_(Digor),80.0
637,Afrikaans,Dizi,88.8
638,Afrikaans,Douala,100.0
639,Afrikaans,Dutch,2.9
640,Afrikaans,English,27.5
641,Afrikaans,Estonian,88.7
642,Afrikaans,Even,93.8
643,Afrikaans,Faroese,33.2
644,Afrikaans,Finnish,88.7
645,Afrikaans,Flemish,8.5
646,Afrikaans,French,61.5
647,Afrikaans,Frisian,22.8
648,Afrikaans,Friulian,63.6
649,Afrikaans,Fula,84.0
650,Afrikaans,Galician,63.8
651,Afrikaans,Gelao,93.5
652,Afrikaans,Georgian,92.6
653,Afrikaans,German,21.6
654,Afrikaans,Greek_(modern),69.9
655,Afrikaans,Greenlandic_(Eastern),87.8
656,Afrikaans,Greenlandic_(Western),90.1
657,Afrikaans,Gujarati,65.1
658,Afrikaans,Gypsy_Romani,81.7
659,Afrikaans,Hausa,88.1
660,Afrikaans,Hebrew,95.5
661,Afrikaans,Hindi,69.9
662,Afrikaans,Hungarian,91.0
663,Afrikaans,Icelandic,35.3
664,Afrikaans,Igbo,97.8
665,Afrikaans,Indonesian,93.1
666,Afrikaans,Irish,79.0
667,Afrikaans,Ossetic_(Iron),75.8
668,Afrikaans,Ishkashimi,73.7
669,Afrikaans,Istro-Romanian,63.1
670,Afrikaans,Italian,56.3
671,Afrikaans,Japanese,93.3
672,Afrikaans,Javanese,87.3
673,Afrikaans,Kabardino_Cherkess,95.1
674,Afrikaans,Kabylian,79.9
675,Afrikaans,Kalasha,76.3
676,Afrikaans,Kalmyk,93.5
677,Afrikaans,Kannada,89.6
678,Afrikaans,Karelian,88.7
679,Afrikaans,Kashmiri,79.5
680,Afrikaans,Kazakh,91.4
681,Afrikaans,Ket,91.0
682,Afrikaans,Khanti,85.8
683,Afrikaans,Khmer,90.1
684,Afrikaans,Khowar,75.2
685,Afrikaans,Kivalliq,100.0
686,Afrikaans,Komi,89.2
687,Afrikaans,Korean,94.4
688,Afrikaans,Kurdish,85.3
689,Afrikaans,Kurukh,85.6
690,Afrikaans,Kyrgyz,89.6
691,Afrikaans,Labrador_Inuttut,86.6
692,Afrikaans,Ladin,60.6
693,Afrikaans,Lahnda,67.9
694,Afrikaans,Lak,94.8
695,Afrikaans,Lao,89.8
696,Afrikaans,Latvian,82.8
697,Afrikaans,Letzebuergesch,21.8
698,Afrikaans,Lezgian,94.4
699,Afrikaans,Lithuanian,67.3
700,Afrikaans,Macedonian,64.8
701,Afrikaans,Magahi,69.6
702,Afrikaans,Malagasy,81.5
703,Afrikaans,Malayalam,93.4
704,Afrikaans,Maltese,85.6
705,Afrikaans,Mansi,82.1
